"label","n","parent","id"
"Cyprus",21,"total -  Documentary","total -  Documentary  -  Cyprus"
"Cyprus",329,"total -  Drama","total -  Drama  -  Cyprus"
"Cyprus",28,"total -  Family","total -  Family  -  Cyprus"
"Cyprus",33,"total -  Fantasy","total -  Fantasy  -  Cyprus"
"Cyprus",2,"total -  Film Noir","total -  Film Noir  -  Cyprus"
"Cyprus",8,"total -  Game Show","total -  Game Show  -  Cyprus"
"Cyprus",4,"total -  History","total -  History  -  Cyprus"
"Cyprus",21,"total -  Horror","total -  Horror  -  Cyprus"
"Cyprus",2,"total -  Music","total -  Music  -  Cyprus"
"Cyprus",1,"total -  Musical","total -  Musical  -  Cyprus"
"Cyprus",48,"total -  Mystery","total -  Mystery  -  Cyprus"
"Cyprus",15,"total -  Reality TV","total -  Reality TV  -  Cyprus"
"Cyprus",89,"total -  Romance","total -  Romance  -  Cyprus"
"Cyprus",45,"total -  Sci Fi","total -  Sci Fi  -  Cyprus"
"Cyprus",12,"total -  Sport","total -  Sport  -  Cyprus"
"Cyprus",11,"total -  Talk Show","total -  Talk Show  -  Cyprus"
"Cyprus",59,"total -  Thriller","total -  Thriller  -  Cyprus"
"Cyprus",4,"total -  War","total -  War  -  Cyprus"
"Cyprus",5,"total -  Western","total -  Western  -  Cyprus"
"Czech Republic",200,"total -  Action","total -  Action  -  Czech Republic"
"Czech Republic",156,"total -  Adventure","total -  Adventure  -  Czech Republic"
"Czech Republic",78,"total -  Animation","total -  Animation  -  Czech Republic"
"Czech Republic",12,"total -  Biography","total -  Biography  -  Czech Republic"
"Czech Republic",191,"total -  Comedy","total -  Comedy  -  Czech Republic"
"Czech Republic",131,"total -  Crime","total -  Crime  -  Czech Republic"
"Czech Republic",26,"total -  Documentary","total -  Documentary  -  Czech Republic"
"Czech Republic",287,"total -  Drama","total -  Drama  -  Czech Republic"
"Czech Republic",25,"total -  Family","total -  Family  -  Czech Republic"
"Czech Republic",53,"total -  Fantasy","total -  Fantasy  -  Czech Republic"
